Date,Case,Jurisdiction,Entity Involved,Issue,Status,Primary Source
2015-Ongoing,DieselGate,United States,Volkswagen AG,"Defeat device software installed in diesel vehicles to cheat EPA emissions tests. VW suspended US TDI sales Sep 2015. Settled civil and criminal claims via multidistrict litigation in California. Total US exposure exceeded $20 billion across consumer, government, and criminal settlements.",Largely Resolved (Residual Obligations),VW AG Annual Report 2025
2015-2022,DieselGate,United Kingdom,Volkswagen AG,"Class action by approximately 90,000 UK drivers settled in May 2022 for £193 million without admission of liability. Time-barred claims for non-participating drivers cut off from May 2022.",Resolved,VW AG Annual Report 2025 / Press Reports
2021-Ongoing,DieselGate,European Union / United Kindom,"Volkswagen AG, Audi AG",European Commission issued administrative fine in July 2021 for anticompetitive cooperation among German automakers on SCR emissions systems. UK class actions filed from late 2021 following EC decision. No provisions reported.,Ongoing,VW AG Annual Report 2025
2015-Ongoing,DieselGate,Germany,Volkswagen AG,Ongoing investor lawsuits in German courts including class actions and criminal proceedings arising from Dieselgate disclosure failures. Contingent liability reported at €3.8 billion as of the 2024 annual report.,Ongoing,VW AG Annual Report 2025
2014,NDRC Antitrust (Price Fixing),China,"FAW-Volkswagen Sales Co.,Ltd.","Hubei Price Bureau, acting under NDRC guidance, fined FAW-Volkswagen Sales Co. RMB 248.6 million ($40.5 million) for organising Audi dealers to fix vehicle, service, and maintenance prices since 2012. Eight Audi dealers in Hubei fined an additional RMB 29.9 million. First-ever antitrust punishment of a foreign carmaker in China. Audi admitted partial breach.",Resolved (Fine Paid),NDRC; Fortune; China Daily; Orrick Antitrust Watch (Sep 2014)
2021-Ongoing,EU SCR Cartel,China,"Volkswagen AG, Audi AG, Porsche AG","Chinese competition authority initiated proceedings against VW AG, Audi AG, and Porsche AG following the European Commission's 2021 SCR cartel decision. Authorities issued information requests. No fine imposed yet. Proceedings ongoing.",Ongoing,VW AG Annual Report 2025
2023-Ongoing,KFTC Fine (SCR Cartel follow on),South Korea,"Volkswagen AG, Audi AG",Korea Fair Trade Commission (KFTC) issued administrative fine decision in April 2023 following analysis of the EU SCR cartel case. Fine of approximately €3 million assessed against Audi AG. Volkswagen AG received no fine. Both Audi AG and Volkswagen AG have appealed to the relevant Korean court. Appeal pending.,Appealed (Pending),VW AG Annual Report 2025
2021-2024,Xinjiang Forced Labour (SAIC-VW Urumqi Plant),China / United States,"SAIC-Volkswagen Automotive Co., Ltd. / Volkswagen AG","SAIC-VW operated a plant and test tracks near Urumqi in the Xinjiang Uyghur Autonomous Region. Human rights groups documented forced labour risks. VW commissioned an audit via Berlin consultancy Löning, which in turn hired CCP-linked Shenzhen firm Liangma. Leaked audit reviewed by Jamestown Foundation researcher Adrian Zenz found methodology failed international SA8000 standards. All 20 Löning staff publicly distanced themselves from the audit. 50 parliamentarians from 23 countries called on VW to withdraw. VW announced plant sale to state-owned buyer in 2024. Plant and two test tracks sold.",Exited (Plant Sold),"Jamestown Foundation (Zenz, Sep 2024); HRW (May 2024); RFA; China Digital Times"
Jan-Mar 2024,UFLPA Vehicle Detentions ,United States,Volkswagen AG,"In January 2024 VW voluntarily disclosed to US CBP that vehicles produced for the US market contained a small electronic subcomponent from a supplier added to the UFLPA Entity List in December 2023. CBP impounded thousands of Audi, Porsche, and Bentley vehicles at US ports. VW committed to replacing the affected component across all vehicles globally. Replacement completed by end of March 2024. US Senate Finance Committee May 2024 report found VW had ongoing business ties to Xinjiang manufacturing and that supply chain auditing methods were insufficient.",Component Replaced,US CBP; Senate Finance Committee (May 2024); Foley Hoag; HRW
2021-Ongoing,CMA investigation,United Kingdom,Volkswagen AG,CMA issued information requests to VW AG. VW filed for judicial review in July 2022 arguing requests exceeded CMA jurisdiction. Court initially ruled in VW's favour in Feb 2023. CMA appealed; appellate court ruled in CMA's favour in January 2024. VW considering further appeal while examining cooperation options.,Ongoing,VW AG Annual Report 2024
2025,ELV Recycling Cartel,European Union / United Kindom,"Volkswagen AG, Volkswagen Group UK","European Commission and CMA found that Volkswagen, alongside other European, Japanese, and Korean manufacturers and industry associations including ACEA, agreed to avoid paying recycling companies for end-of-life vehicle disposal services, and agreed not to use recyclability data competitively. Investigation conducted via ACEA Working Group Recycling and related sub-groups. EC imposed fine of approximately €128 million on Volkswagen AG. CMA imposed fine of approximately GBP 15 million on Volkswagen AG and Volkswagen Group UK jointly. Proceedings terminated via settlement.",Resolved,VW AG Annual Report 2025
